,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
1,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
2,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
3,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
4,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
5,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
6,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
7,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
8,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
9,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
10,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
11,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
12,2017_PNAS_Li___H3K27Ac-noIL2-CD4
13,2017_PNAS_Li___H3K27Ac_IL2-CD4
14,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
15,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
16,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
17,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
18,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
19,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
20,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
21,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
22,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
23,2017_PNAS_Li___H3K4me3-noIL2-CD4
24,2017_PNAS_Li___H3K4me3_IL2-CD4
25,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
26,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
27,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
28,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
29,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
30,2021_GoldrathLab_Brd4___BRD4_TE-CD8
31,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
32,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
33,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
34,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
35,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
36,2021_GoldrathLab_Brd4___BRD4_MP-CD8
37,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
38,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
39,2017_PNAS_Li___STAT3_noIL21-CD4
40,2016_SCIENCE_Mackay___Hobit_invitro-CD8
41,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
42,2017_PNAS_Li___STAT5B_noIL2-CD8
43,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
44,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
45,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
46,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
47,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
48,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
49,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
50,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
51,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
