,ChIP
0,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
1,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
2,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
3,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
4,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
5,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
6,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
7,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
8,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
9,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
10,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
11,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
12,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
13,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
14,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
15,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
16,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
17,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
18,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
19,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
20,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
21,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
22,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
23,2017_PNAS_Li___H3K27Ac-noIL2-CD4
24,2017_PNAS_Li___H3K27Ac_IL2-CD4
25,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
26,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
27,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
28,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
29,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
30,2017_PNAS_Li___H3K4me3-noIL2-CD4
31,2017_PNAS_Li___H3K4me3_IL2-CD4
32,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
33,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
34,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
35,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
36,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
37,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
38,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
39,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
40,2021_GoldrathLab_Brd4___BRD4_MP-CD8
41,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
42,2021_GoldrathLab_Brd4___BRD4_TE-CD8
43,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
44,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
45,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
46,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
