,ChIP
0,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT---2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
1,2017_PNAS_Li___H3K27Ac_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
2,2017_PNAS_Li___H3K27Ac_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
3,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
4,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
5,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
6,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
7,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
8,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
9,2017_PNAS_Li___H3K27Ac_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
10,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
11,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
12,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
13,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
14,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP---2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
15,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
16,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
17,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
18,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
19,2017_PNAS_Li___H3K27Ac_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
20,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
21,2017_PNAS_Li___H3K27Ac_IL2-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
22,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac-noIL2-CD4
23,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-CD4
24,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac-noIL2-CD4
25,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-CD4
26,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_PNAS_Li___H3K27Ac_IL2-CD4
27,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
28,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
29,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
30,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
31,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
32,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
33,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
34,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
35,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
36,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
37,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
38,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
39,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
40,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
41,2017_PNAS_Li___H3K4me3-noIL2-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
42,2017_PNAS_Li___H3K4me3_IL2-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
43,2017_PNAS_Li___H3K4me3-noIL2-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
44,2017_PNAS_Li___H3K4me3_IL2-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
45,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
46,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
47,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
48,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
49,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
50,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
51,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
52,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
53,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
54,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
55,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
56,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
57,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
58,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
59,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
60,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
61,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
62,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
63,2017_PNAS_Li___H3K4me3_IL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
64,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
65,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
66,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
67,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
68,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
69,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
70,2017_PNAS_Li___H3K27Ac_IL2-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
71,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
72,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
73,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
74,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
75,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
76,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
77,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
78,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
79,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
80,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
81,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
82,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
83,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
84,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
85,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
86,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
87,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
88,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4---2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
89,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8---2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
90,2017_PNAS_Li___H3K4me3-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
91,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
92,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_PNAS_Li___H3K27Ac_IL2-CD4
93,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
94,2017_PNAS_Li___H3K27Ac-noIL2-CD4---2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
95,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4---2017_PNAS_Li___H3K27Ac_IL2-CD4
96,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE---2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
97,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8---2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
