,ChIP
0,sc_d5_arm_up
1,d5_KLRG1hi_Runx3_repressed
2,nascent_48h_dn
3,d5_KLRG1lo_Runx3_promoted
4,nascent_Il2_promoted
5,sc_P9_arm_up
6,nascent_48h_up
7,sc_d8_cl13_up
8,ChIP
9,d5_KLRG1lo_all
10,d5_KLRG1hi_all
11,sc_all
12,nascent_all
13,sc_d8_arm_up
14,sc_P3_arm_up
15,nascent_Il2_repressed
16,d5_KLRG1hi_Runx3_promoted
17,sc_P2_arm_up
18,sc_P4_arm_up
19,sc_P6_arm_up
20,sc_P5_arm_up
21,sc_P7_cl13_up
22,sc_P3_cl13_up
23,d5_KLRG1lo_Runx3_repressed
24,sc_P9_cl13_up
25,sc_d5_cl13_up
26,sc_P7_arm_up
27,sc_P2_cl13_up
28,sc_P4_cl13_up
29,sc_P5_cl13_up
30,sc_P6_cl13_up
